"finch_id","finch_cat_id","finch_cat_name","finch_cat_name_a","finch_cat_id_a","finch_cat_name_b","finch_cat_id_b","finch_cat_name_c","finch_cat_id_c","description","name","brand_name","features","additionalproperties"
amzn_us___B08L6W972N,"870e6274",Crib Mattresses,Baby,c679954e,Crib Mattresses,"870e6274",,,"Fitted portable / mini crib Sheet Measures 24 x 38 inches 100% cotton woven 280 TC Elastic around the entire edge for a safe and secure fit Features Patriotic Stars Machine washable and dryable Made In USA! Note: Please make sure to select the proper fitted sheet for your mattress size. There are two different depths available. If you have the standard 3 inch thick mattress, then make sure to select '24 x 38 x 3'. If you have the extra deep 5.5"" or 6"" mattress you will need the extra deep fitted '24 x 38 x 5.5' size sheet. The extra deep sheet works with brands such as the 'DaVinci extra deep mattress' as well as some other brands.","SheetWorld 100% Cotton Percale Extra Deep Fitted Portable Mini Crib Sheet 24 x 38 x 5.5, Patriotic Stars, Made in USA",SHEETWORLD.COM,"{""Measures 24 x 38 x 5.5 (extra deep)"",""100% Cotton Woven"",""Machine Washable & Dryable"",""MADE IN USA!""}","{""{\""name\"": \""Color\"", \""value\"": \""Patriotic Stars\""}"",""{\""name\"": \""Material\"", \""value\"": \""Cotton\""}"",""{\""name\"": \""Size\"", \""value\"": \""Fitted 24x38x5.5\""}"",""{\""name\"": \""Fabric Type\"", \""value\"": \""100% Cotton\""}"",""{\""name\"": \""Pattern\"", \""value\"": \""Star\""}"",""{\""name\"": \""Product Dimensions\"", \""value\"": \""38\\\""L x 24\\\""W\""}"",""{\""name\"": \""Brand\"", \""value\"": \""SHEETWORLD.COM\""}"",""{\""name\"": \""Product Care Instructions\"", \""value\"": \""Machine Wash\""}"",""{\""name\"": \""Number of Pieces\"", \""value\"": \""1\""}"",""{\""name\"": \""Item Weight\"", \""value\"": \""8 ounces\""}"",""{\""name\"": \""Manufacturer\"", \""value\"": \""SHEETWORLD.COM\""}"",""{\""name\"": \""ASIN\"", \""value\"": \""B08L6W972N\""}"",""{\""name\"": \""Country of Origin\"", \""value\"": \""USA\""}"",""{\""name\"": \""Item model number\"", \""value\"": \""pc5-W1224\""}"",""{\""name\"": \""Date First Available\"", \""value\"": \""03M 10, 2023\""}""}"
amzn_us___B09NN5RVKQ,"870e6274",Crib Mattresses,Baby,c679954e,Crib Mattresses,"870e6274",,,"- S5 Crib Size Knife Edge Outdoor Daybed Mattress Bolster Insert and Cover Complete Set AD106 - Premium Foam Mattress - Foam Density: (D30) 1.8 PCF High-Densityand Dacron Wrap - 3-Layers Foam Mattress:Foam + Fiberfill + Dacron Wrap: - 1 x High-Density Mattress Foam and Cover : 52"" x 28"" x 6"" - 3-Layers Pillow Insert:Polyester Fiberfill + Fiber Warp + Dacron Wrap - 2 x Bolster Pillow Cover and Insert: 26"" x 8"" - * 1500 Gram Fiberfill Per Bolster - Color: AD106 - Edge Trim: Knife Edge- - Packaging: VacuumPacked- - Fabric: 230 Gram Polyester Upholstery - Water Repellent *Not Water Proof* - Hidden Zipper - Allow 48 hours to restore back to original thickness afteropening package - Covers and Inserts are packed individually *assemblingrequired* - Tips: Please cover or store cushion pillow in rainy season - Cleaning: Soap clean and rinse off with water hose. Outdoor durable! - Qty: 1",MH GLOBAL S5 Crib Size Knife Edge Outdoor Daybed Mattress Bolster Insert and Cover Complete Set AD106,MH GLOBAL,"{""1 x High-Density Mattress Foam and Cover : 52\"" x 28\"" x 6\"""",""2 x Bolster Inserts and Covers : 26\"" x 8\"""",""230 Gram Polyester Upholstery Fabric, Water Repellent *Not Water Proof*, Hidden Zipper"",""Cover or store cushion pillow in rainy season; Soap clean and rinse off with water hose"",""Vacuum Packed ; Allow 48 hours to restore back to original thickness""}","{""{\""name\"": \""Item Weight\"", \""value\"": \""28 pounds\""}"",""{\""name\"": \""Manufacturer\"", \""value\"": \""MH GLOBAL\""}"",""{\""name\"": \""ASIN\"", \""value\"": \""B09NN5RVKQ\""}"",""{\""name\"": \""Date First Available\"", \""value\"": \""December 15, 2021\""}""}"
amzn_us___B000YFRK7C,"870e6274",Crib Mattresses,Baby,c679954e,Crib Mattresses,"870e6274",,,"Crib Innerspring Mattress - extra firm 15.5 gauge 260 coil with 6 gauge border rod with organic cotton quilted layer and organically processed wool quilted layer with Organic Cotton Damask outer. 28 x 52 x 6"".",Organic Crib Mattress - Ecobaby,,"{""Organic Crib mattress"",""260 coils for firmness"",""Quilted layer for comfort"",""Wool batting"",""Organic cotton damask outer""}","{""{\""name\"": \""Is Discontinued By Manufacturer\"", \""value\"": \""No\""}"",""{\""name\"": \""Material Type\"", \""value\"": \""Wool\""}"",""{\""name\"": \""Batteries required\"", \""value\"": \""No\""}"",""{\""name\"": \""Dishwasher safe\"", \""value\"": \""No\""}"",""{\""name\"": \""Is portable\"", \""value\"": \""No\""}"",""{\""name\"": \""ASIN\"", \""value\"": \""B000YFRK7C\""}""}"
amzn_us___B09NN3BB1Z,"870e6274",Crib Mattresses,Baby,c679954e,Crib Mattresses,"870e6274",,,"Style5 Crib Outdoor Daybed Mattress Bolster Knife Edge Insert and Cover Complete Set - AD002 Premium Foam Mattress Foam Density: (D30) 1.8 PCF High-Densityand Dacron Wrap 3-Layers Foam Mattress:Foam + Fiberfill + Dacron Wrap: 1 x Mattress Foam and Cover Dimension: 52"" x 28"" x 6"" 3-Layers Pillow Insert: Polyester Fiberfill + Fiber Warp + Dacron Wrap 2 x Bolster Inserts and Covers Dimension (1500 Gram Fiberfill): 26"" x 8"" Color: AD002 Edge Trim: Knife Edge Packaging: VacuumPacked Fabric: 230 Gram Polyester Upholstery Hidden Zipper Water Repellent *Not Water Proof* Store Cushions and Covers In Rainy Season Allow 48 hours to restore back to original thickness afteropening package Covers and Inserts are packed individually *assemblingrequired* Cleaning: Soap clean and rinse off with water hose Quantity: 1",DBM IMPORTS Style5 Crib Outdoor Daybed Mattress Bolster Knife Edge Insert and Cover Complete Set - AD002,DBM IMPORTS,"{""1 x Mattress Foam and Cover Dimension: 52\"" x 28\"" x 6\"""",""2 x Bolster Inserts and Covers Dimension: 26\"" x 8\"""",""Cover Edge Trim: Knife Edge; Hidden Zipper; Fabric: 230 Gram Polyester Upholstery"",""Hidden Zipper; Water Repellent *Not Water Proof* Store Cushions and Covers In Rainy Season"",""Vacuum Packed (Allow 48 hours to restore back to original thickness afteropening package)""}","{""{\""name\"": \""Package Dimensions\"", \""value\"": \""52 x 38 x 6 inches\""}"",""{\""name\"": \""Manufacturer\"", \""value\"": \""DBM IMPORTS\""}"",""{\""name\"": \""ASIN\"", \""value\"": \""B09NN3BB1Z\""}""}"
amzn_us___B0BLWFJHFT,"870e6274",Crib Mattresses,Baby,c679954e,Crib Mattresses,"870e6274",,,"Fitted portable / mini crib Sheet Measures 24 x 38 inches 100% cotton woven 280 TC Elastic around the entire edge for a safe and secure fit Features Camel Links Machine washable and dryable Made In USA! Note: Please make sure to select the proper fitted sheet for your mattress size. There are two different depths available. If you have the standard 3 inch thick mattress, then make sure to select '24 x 38 x 3'. If you have the extra deep 5.5"" or 6"" mattress you will need the extra deep fitted '24 x 38 x 5.5' size sheet. The extra deep sheet works with brands such as the 'DaVinci extra deep mattress' as well as some other brands.","SheetWorld 100% Cotton Percale Extra Deep Fitted Portable Mini Crib Sheet 24 x 38 x 5.5, Camel Links, Made in USA",SHEETWORLD.COM,"{""Measures 24 x 38 x 5.5 (extra deep)"",""100% Cotton Woven"",""Machine Washable & Dryable"",""MADE IN USA!""}","{""{\""name\"": \""Color\"", \""value\"": \""Camel Links\""}"",""{\""name\"": \""Material\"", \""value\"": \""Cotton\""}"",""{\""name\"": \""Size\"", \""value\"": \""Fitted 24x38x5.5\""}"",""{\""name\"": \""Fabric Type\"", \""value\"": \""100% Cotton\""}"",""{\""name\"": \""Product Dimensions\"", \""value\"": \""38\\\""L x 24\\\""W\""}"",""{\""name\"": \""Brand\"", \""value\"": \""SHEETWORLD.COM\""}"",""{\""name\"": \""Product Care Instructions\"", \""value\"": \""Machine Wash\""}"",""{\""name\"": \""Number of Pieces\"", \""value\"": \""1\""}"",""{\""name\"": \""Item Weight\"", \""value\"": \""8 ounces\""}"",""{\""name\"": \""Manufacturer\"", \""value\"": \""SHEETWORLD.COM\""}"",""{\""name\"": \""ASIN\"", \""value\"": \""B0BLWFJHFT\""}"",""{\""name\"": \""Country of Origin\"", \""value\"": \""USA\""}"",""{\""name\"": \""Item model number\"", \""value\"": \""PC5-W136\""}"",""{\""name\"": \""Date First Available\"", \""value\"": \""03M 10, 2023\""}""}"
amzn_us___B0791MF532,"870e6274",Crib Mattresses,Baby,c679954e,Crib Mattresses,"870e6274",,,"Did Daddy build a crib? Using a family heirloom bassinet? These priceless treasures need a safe, comfy BABY mattress before precious baby can sleep peacefully in them. You finally have the custom mattress you need, and now you can have some custom sheets too! Purchasing that custom size mattress cover has never been simpler. Just measure the exact dimensions of your baby mattress and make your selection. Our custom baby sheets will be custom tailored and personalized to fit your needs. Choose your color and size, and receive the perfect sheet for you. Well purchasing that custom size mattress has never been simpler. Just measure the interior dimensions of your cradle and make your selection. We accommodate every size and shape to achieve perfect results.","babykidsbargains Custom Size Baby Cradle Bassinet, Crib Sheet",,"{Polycotton,""Made in US"",""Get the perfect sheet for you custom cradle, bassinet, or crib mattress!"",""Choose colors for boy or girl, and get your baby the custom bedding you love!"",""Fabric content: Poly Cotton""}","{""{\""name\"": \""Color\"", \""value\"": \""Beige\""}"",""{\""name\"": \""Material\"", \""value\"": \""Polycotton\""}"",""{\""name\"": \""Size\"", \""value\"": \""Custom Sheet\""}"",""{\""name\"": \""Fabric Type\"", \""value\"": \""Polycotton\""}"",""{\""name\"": \""Pattern\"", \""value\"": \""Chevron\""}"",""{\""name\"": \""Brand\"", \""value\"": \""babykidsbargains\""}"",""{\""name\"": \""Care instructions\"", \""value\"": \""Machine Wash\""}"",""{\""name\"": \""Product Dimensions\"", \""value\"": \""39 x 25 x 1 inches\""}"",""{\""name\"": \""Item model number\"", \""value\"": \""customsheet\""}"",""{\""name\"": \""Is Discontinued By Manufacturer\"", \""value\"": \""No\""}"",""{\""name\"": \""Target gender\"", \""value\"": \""Unisex\""}"",""{\""name\"": \""Material Type\"", \""value\"": \""Polycotton\""}"",""{\""name\"": \""Number Of Items\"", \""value\"": \""1\""}"",""{\""name\"": \""Batteries required\"", \""value\"": \""No\""}"",""{\""name\"": \""Item Weight\"", \""value\"": \""1 pounds\""}"",""{\""name\"": \""ASIN\"", \""value\"": \""B0791MF532\""}""}"
amzn_us___B013UFDW7E,"870e6274",Crib Mattresses,Baby,c679954e,Crib Mattresses,"870e6274",,,"The perfect pack for day care centers, these mattresses will keep baby comfortable and sleeping a whole nap long. The waterproof vinyl cover protects the inner layer from those inevitable spills.","bkb Daycare 6 Piece Cradle Mattresses, 5"" x 33"" x 2""",BKB,"{""Meets us safety standards"",""Set includes: 6 mattresses"",""Made in USA"",""2\"" thick""}","{""{\""name\"": \""Package Dimensions\"", \""value\"": \""1 x 1 x 1 inches\""}"",""{\""name\"": \""Item model number\"", \""value\"": \""009243348221\""}"",""{\""name\"": \""Material Type\"", \""value\"": \""Vinyl\""}"",""{\""name\"": \""Care instructions\"", \""value\"": \""Hand Wash Only\""}"",""{\""name\"": \""Additional product features\"", \""value\"": \""Waterproof\""}"",""{\""name\"": \""Batteries required\"", \""value\"": \""No\""}"",""{\""name\"": \""Item Weight\"", \""value\"": \""1 pounds\""}"",""{\""name\"": \""Country/Region of origin\"", \""value\"": \""USA\""}"",""{\""name\"": \""Age Range Description\"", \""value\"": \""Baby\""}"",""{\""name\"": \""ASIN\"", \""value\"": \""B013UFDW7E\""}""}"
amzn_us___B00RXV9FD2,"870e6274",Crib Mattresses,Baby,c679954e,Crib Mattresses,"870e6274",,,"This luxurious 100% cotton ""woven"" portable / mini crib sheet features a purple damask print on a white background. Our sheets are made of the highest quality fabric that's measured at a 280 tc. That means these sheets are soft and durable. Sheets are made with deep pockets and are elasticized around the entire edge which prevents it from slipping off the mattress, thereby keeping your baby safe. These sheets are so durable that they will last all through your baby's growing years. We're called sheetworld because we produce the highest grade sheets on the market today. Size: 24 x 38.Note: Please make sure to select the proper fitted sheet for your mattress size. There are two different depths available. If you have the standard 3 inch thick mattress, then make sure to select '24 x 38 x 3'. If you have the extra deep 5.5"" or 6"" mattress you will need the extra deep fitted '24 x 38 x 5.5' size sheet. The extra deep sheet works with brands such as the 'DaVinci extra deep mattress' as well as some other brands.","SheetWorld Fitted 100% Cotton Percale Portable Mini Crib Sheet 24 x 38, Purple Damask, Made in USA",,"{""100% Cotton"",""Measure 24 x 38"",""100% Cotton Woven"",""Machine Washable & Dryable"",""MADE IN USA!""}","{""{\""name\"": \""Color\"", \""value\"": \""Purple Damask\""}"",""{\""name\"": \""Material\"", \""value\"": \""Cotton\""}"",""{\""name\"": \""Size\"", \""value\"": \""Fitted (24x38x3)\""}"",""{\""name\"": \""Fabric Type\"", \""value\"": \""100% Cotton\""}"",""{\""name\"": \""Pattern\"", \""value\"": \""Damask\""}"",""{\""name\"": \""Product Dimensions\"", \""value\"": \""38\\\""L x 24\\\""W\""}"",""{\""name\"": \""Brand\"", \""value\"": \""SHEETWORLD.COM\""}"",""{\""name\"": \""Care instructions\"", \""value\"": \""Machine Wash\""}"",""{\""name\"": \""Number of Pieces\"", \""value\"": \""1\""}"",""{\""name\"": \""Item model number\"", \""value\"": \""PC-W990\""}"",""{\""name\"": \""Target gender\"", \""value\"": \""Female\""}"",""{\""name\"": \""Material Type\"", \""value\"": \""Cotton\""}"",""{\""name\"": \""Number Of Items\"", \""value\"": \""1\""}"",""{\""name\"": \""Batteries required\"", \""value\"": \""No\""}"",""{\""name\"": \""Item Weight\"", \""value\"": \""6.5 ounces\""}"",""{\""name\"": \""Country/Region of origin\"", \""value\"": \""USA\""}"",""{\""name\"": \""ASIN\"", \""value\"": \""B00RXV9FD2\""}""}"
amzn_us___B0177B27BY,"870e6274",Crib Mattresses,Baby,c679954e,Crib Mattresses,"870e6274",,,"? Size Approximately 70 ~ 120cm ? Material quilt pad / Land side: 65% polyester, 35% cotton stuffing: 100% polyester waterproof sheets / polyester 100% (lamination) ? Country Japan ? washing washing machine Allowed (net use) > see more Japan-made quilt pad & waterproof sheets set of safety and security quality perfect size Regular size of the crib to be washed immediately, even if dirt from washable, household washing machine! Sweat in quilt pad baby heavy sweater of batting firmly absorption! Waterproof sheets moisture is difficult to shift from the mattress because the moisture in the moisture-permeable waterproof type four corners marked with rubber to prevent it to escape ?",Sandeshika Quilt pad & Waterproof Sheets - Made in Japan Regular,Sandeshika,"{""Polyester,100,cotton"",""We will ship from Tokyo, Japan"",""It will take 7 to 14 business days as your goods arrive since your payment.""}","{""{\""name\"": \""Brand\"", \""value\"": \""Sandeshika\""}"",""{\""name\"": \""Size\"", \""value\"": \""Crib\""}"",""{\""name\"": \""Fabric Type\"", \""value\"": \""Polyester,100,cotton\""}"",""{\""name\"": \""Care instructions\"", \""value\"": \""Machine Wash\""}"",""{\""name\"": \""Water Resistance Level\"", \""value\"": \""Waterproof\""}"",""{\""name\"": \""Material\"", \""value\"": \""Polyester, Cotton\""}"",""{\""name\"": \""Package Dimensions\"", \""value\"": \""13.7 x 10.98 x 3.66 inches\""}"",""{\""name\"": \""Is Discontinued By Manufacturer\"", \""value\"": \""No\""}"",""{\""name\"": \""Target gender\"", \""value\"": \""Unisex\""}"",""{\""name\"": \""Material Type\"", \""value\"": \""Polyester, Cotton\""}"",""{\""name\"": \""Batteries required\"", \""value\"": \""No\""}"",""{\""name\"": \""Item Weight\"", \""value\"": \""15.8 ounces\""}"",""{\""name\"": \""ASIN\"", \""value\"": \""B0177B27BY\""}""}"
amzn_us___B0C5JC4VL6,"870e6274",Crib Mattresses,Baby,c679954e,Crib Mattresses,"870e6274",,,"💞The Most Essential Accessory For All New Moms And Dads. 🙆Do you want to keep your baby clean and comfy wherever you go? 🙆Are you looking for a convenient and high-quality baby sleeping pad? ✅Then this portable baby pad is everything you've been looking for! Designed for Babies: This portable waterproof baby pads has a gauze cotton surface that is smooth and soft, protects your little one from hard, dirty surfaces. ✅SUPERIOR QUALITY 👶This waterproof changing pad is made with the best quality materials and special care to keep your baby comfy and safe. 👶It is very soft and comfortable so that babies will love it, and extremely durable and hygienic. ✅THREE LAYER STRUCTURE 👶Skin-friendly 👶Soft & Comfortable 👶Breathable 👶Ice silk can better protect your baby's skin ✅CONVENIENT DESIGN 👶The foldable changing mat is very easy to carry 👶The baby sleeping mat is waterproof and very easy to keep clean for easy use and maximum hygiene ✅MULTIPLE FUNCTIONS 👶For baby cribs 👶For baby bassinet/crib/pack n play 👶For toddler training 👶For protecting your mattress 👶Baby daily use 👶For playmat 👶For picnic 🚚Just click ""Add To Cart"" now","xigua Frog Baby Summer Sleeping Pad Baby Cooling Pad with Pillowcase, Breathable Crib Mattress Pad Washable Toddler Mattress Pad for Summer 52"" x 28""",xigua,"{""【👶 PREMIUM MATERIAL】The baby sheet are velvety-soft to touch, breathable and healthy for your baby or toddler. So do not worry that baby will get sweaty when they re sleeping. The backing fiber is non-adhesive and noise-free, which prevent from bunching up when tossing and turning,allowing for a peaceful rest."",""【👶 GET AN CUTE BABY PAD FOR BED】Each bed pad protector is oversized at 52''x 28'',In addition with a pillowcase (18 x 13in); easily fits most baby crib and mattress protector, allows your baby to sleep peacefully with plenty of room to move."",""【👶 SPOIL YOUR BABY BOY OR GIRL】Choose this unisex pee pads for kids and offer it as a thoughtful baby shower, birthday, gender reveal party Christmas or holiday gift.You just have to replace the pad instead of tearing away the whole sheet off the bed every morning."",""【👶 DURABLE & REUSABLE】Unlike plastic mats that stain and slide around or pricey disposable liners, these changing table pads are reusable with made of durable materials that are machine washable up to 100+ cycles and get softer with every wash, which is better for your baby and your wallet."",""【👶 WASHING INSTRUCTIONS】Regular washing; less than 40 ℃ warm water washing; do not use bleach and other detergents; should not be soaked for a long time; can be hand-washed, ironing, gentle machine washable, not dry clean.""}","{""{\""name\"": \""Brand\"", \""value\"": \""xigua\""}"",""{\""name\"": \""Color\"", \""value\"": \""Frog N55\""}"",""{\""name\"": \""Size\"", \""value\"": \""52*28 inch\""}"",""{\""name\"": \""Fabric Type\"", \""value\"": \""Velvet, Cotton\""}"",""{\""name\"": \""Special Feature\"", \""value\"": \""Disposable,Durable,Premium,Reusable\""}"",""{\""name\"": \""Product Care Instructions\"", \""value\"": \""Machine Wash, Dry Clean Only\""}"",""{\""name\"": \""Water Resistance Level\"", \""value\"": \""Waterproof\""}"",""{\""name\"": \""Age Range (Description)\"", \""value\"": \""Baby\""}"",""{\""name\"": \""Material\"", \""value\"": \""cotton, synthetic, velvet, silk\""}"",""{\""name\"": \""Manufacturer\"", \""value\"": \""ZZCshop\""}"",""{\""name\"": \""ASIN\"", \""value\"": \""B0C5JC4VL6\""}"",""{\""name\"": \""Date First Available\"", \""value\"": \""May 17, 2023\""}""}"
amzn_us___B0C5JCC96J,"870e6274",Crib Mattresses,Baby,c679954e,Crib Mattresses,"870e6274",,,"💞The Most Essential Accessory For All New Moms And Dads. 🙆Do you want to keep your baby clean and comfy wherever you go? 🙆Are you looking for a convenient and high-quality baby sleeping pad? ✅Then this portable baby pad is everything you've been looking for! Designed for Babies: This portable waterproof baby pads has a gauze cotton surface that is smooth and soft, protects your little one from hard, dirty surfaces. ✅SUPERIOR QUALITY 👶This waterproof changing pad is made with the best quality materials and special care to keep your baby comfy and safe. 👶It is very soft and comfortable so that babies will love it, and extremely durable and hygienic. ✅THREE LAYER STRUCTURE 👶Skin-friendly 👶Soft & Comfortable 👶Breathable 👶Ice silk can better protect your baby's skin ✅CONVENIENT DESIGN 👶The foldable changing mat is very easy to carry 👶The baby sleeping mat is waterproof and very easy to keep clean for easy use and maximum hygiene ✅MULTIPLE FUNCTIONS 👶For baby cribs 👶For baby bassinet/crib/pack n play 👶For toddler training 👶For protecting your mattress 👶Baby daily use 👶For playmat 👶For picnic 🚚Just click ""Add To Cart"" now","xigua Frog Baby Summer Sleeping Pad Baby Cooling Pad with Pillowcase, Breathable Crib Mattress Pad Washable Toddler Mattress Pad for Summer 52"" x 28""",xigua,"{""【👶 PREMIUM MATERIAL】The baby sheet are velvety-soft to touch, breathable and healthy for your baby or toddler. So do not worry that baby will get sweaty when they re sleeping. The backing fiber is non-adhesive and noise-free, which prevent from bunching up when tossing and turning,allowing for a peaceful rest."",""【👶 GET AN CUTE BABY PAD FOR BED】Each bed pad protector is oversized at 52''x 28'',In addition with a pillowcase (18 x 13in); easily fits most baby crib and mattress protector, allows your baby to sleep peacefully with plenty of room to move."",""【👶 SPOIL YOUR BABY BOY OR GIRL】Choose this unisex pee pads for kids and offer it as a thoughtful baby shower, birthday, gender reveal party Christmas or holiday gift.You just have to replace the pad instead of tearing away the whole sheet off the bed every morning."",""【👶 DURABLE & REUSABLE】Unlike plastic mats that stain and slide around or pricey disposable liners, these changing table pads are reusable with made of durable materials that are machine washable up to 100+ cycles and get softer with every wash, which is better for your baby and your wallet."",""【👶 WASHING INSTRUCTIONS】Regular washing; less than 40 ℃ warm water washing; do not use bleach and other detergents; should not be soaked for a long time; can be hand-washed, ironing, gentle machine washable, not dry clean.""}","{""{\""name\"": \""Manufacturer\"", \""value\"": \""ZZCshop\""}"",""{\""name\"": \""ASIN\"", \""value\"": \""B0C5JCC96J\""}"",""{\""name\"": \""Date First Available\"", \""value\"": \""05M 17, 2023\""}""}"
amzn_us___B0C5JCZW98,"870e6274",Crib Mattresses,Baby,c679954e,Crib Mattresses,"870e6274",,,"💞The Most Essential Accessory For All New Moms And Dads. 🙆Do you want to keep your baby clean and comfy wherever you go? 🙆Are you looking for a convenient and high-quality baby sleeping pad? ✅Then this portable baby pad is everything you've been looking for! Designed for Babies: This portable waterproof baby pads has a gauze cotton surface that is smooth and soft, protects your little one from hard, dirty surfaces. ✅SUPERIOR QUALITY 👶This waterproof changing pad is made with the best quality materials and special care to keep your baby comfy and safe. 👶It is very soft and comfortable so that babies will love it, and extremely durable and hygienic. ✅THREE LAYER STRUCTURE 👶Skin-friendly 👶Soft & Comfortable 👶Breathable 👶Ice silk can better protect your baby's skin ✅CONVENIENT DESIGN 👶The foldable changing mat is very easy to carry 👶The baby sleeping mat is waterproof and very easy to keep clean for easy use and maximum hygiene ✅MULTIPLE FUNCTIONS 👶For baby cribs 👶For baby bassinet/crib/pack n play 👶For toddler training 👶For protecting your mattress 👶Baby daily use 👶For playmat 👶For picnic 🚚Just click ""Add To Cart"" now","xigua Avocado Baby Summer Sleeping Pad Baby Cooling Pad with Pillowcase, Breathable Crib Mattress Pad Washable Toddler Mattress Pad for Summer 52"" x 28""",xigua,"{""【👶 PREMIUM MATERIAL】The baby sheet are velvety-soft to touch, breathable and healthy for your baby or toddler. So do not worry that baby will get sweaty when they re sleeping. The backing fiber is non-adhesive and noise-free, which prevent from bunching up when tossing and turning,allowing for a peaceful rest."",""【👶 GET AN CUTE BABY PAD FOR BED】Each bed pad protector is oversized at 52''x 28'',In addition with a pillowcase (18 x 13in); easily fits most baby crib and mattress protector, allows your baby to sleep peacefully with plenty of room to move."",""【👶 SPOIL YOUR BABY BOY OR GIRL】Choose this unisex pee pads for kids and offer it as a thoughtful baby shower, birthday, gender reveal party Christmas or holiday gift.You just have to replace the pad instead of tearing away the whole sheet off the bed every morning."",""【👶 DURABLE & REUSABLE】Unlike plastic mats that stain and slide around or pricey disposable liners, these changing table pads are reusable with made of durable materials that are machine washable up to 100+ cycles and get softer with every wash, which is better for your baby and your wallet."",""【👶 WASHING INSTRUCTIONS】Regular washing; less than 40 ℃ warm water washing; do not use bleach and other detergents; should not be soaked for a long time; can be hand-washed, ironing, gentle machine washable, not dry clean.""}","{""{\""name\"": \""Brand\"", \""value\"": \""xigua\""}"",""{\""name\"": \""Color\"", \""value\"": \""Avocado N35\""}"",""{\""name\"": \""Size\"", \""value\"": \""52*28 inch\""}"",""{\""name\"": \""Fabric Type\"", \""value\"": \""Velvet, Cotton\""}"",""{\""name\"": \""Special Feature\"", \""value\"": \""Disposable,Durable,Premium,Reusable\""}"",""{\""name\"": \""Product Care Instructions\"", \""value\"": \""Machine Wash, Dry Clean Only\""}"",""{\""name\"": \""Water Resistance Level\"", \""value\"": \""Waterproof\""}"",""{\""name\"": \""Age Range (Description)\"", \""value\"": \""Baby\""}"",""{\""name\"": \""Material\"", \""value\"": \""cotton, synthetic, velvet, silk\""}"",""{\""name\"": \""Product Dimensions\"", \""value\"": \""52 x 28 x 0.4 inches\""}"",""{\""name\"": \""Manufacturer\"", \""value\"": \""ZZCshop\""}"",""{\""name\"": \""ASIN\"", \""value\"": \""B0C5JCZW98\""}"",""{\""name\"": \""Date First Available\"", \""value\"": \""May 17, 2023\""}""}"
amzn_us___B09CZ7QPXR,"870e6274",Crib Mattresses,Baby,c679954e,Crib Mattresses,"870e6274",,,"Features: Made of good quality polyester and PP cotton, soft, skin- friendly and breathable. The mattress can be washed directly in the water, and it is not easy to be deformed, and the cloth cover can also be removed for cleaning. The mattress is filled with PP cotton, and the baby lies on it as if staying in the mother' s womb, comfortable and safe. The inside of the mattress is all wrapped around, so it is not easy to have threads. It is very suitable for baby rooms, cribs and baby cradles, etc. Specification: - Color: White/ Pink/ Grey/ Orange/ Dark green ( Optional ) - Material: polyester+ PP cotton - Size: 72* 45* 10cm/ 28. 3* 17. 7* 3. 9in Note: Please allow 1- 3cm ( 0. 4- 1. 18"" ) difference due to manual measurement and slight color variation for different display setting. Package Including: 1* Baby Mattress",Wallfire Baby Bed Mattress Newborn Nest Removable Washable Baby Pad for Room Baby,Wallfire,"{""The mattress can be washed directly in the water, and it is not easy to be deformed, and the cloth cover can also be removed for cleaning."",""The mattress is filled with PP cotton, and the baby lies on it as if staying in the mothers womb, comfortable and safe."",""It is very suitable for baby rooms, cribs and baby cradles, etc."",""Made of good quality polyester and PP cotton, soft, skin-friendly and breathable."",""The inside of the mattress is all wrapped around, so it is not easy to have threads.""}","{""{\""name\"": \""Item Weight\"", \""value\"": \""2.93 pounds\""}"",""{\""name\"": \""Manufacturer\"", \""value\"": \""Wallfire\""}"",""{\""name\"": \""ASIN\"", \""value\"": \""B09CZ7QPXR\""}"",""{\""name\"": \""Country of Origin\"", \""value\"": \""China\""}"",""{\""name\"": \""Item model number\"", \""value\"": \""2198192/120925AM07US2\""}"",""{\""name\"": \""Date First Available\"", \""value\"": \""August 18, 2021\""}""}"
